Pillar,Metric,Jul 5-11,Jul 12-18,Jul 19-25,Jul 26-Aug 1,Aug 2-8,Aug 9-15,WoW,MoM
Cowork,Active Users,"88,488","84,368","86,811","92,373","107,182","106,229",▼ 1%,▲ 26%
Cowork,Active Tenants,"11,171","8,382","8,579","9,346","10,867","10,829",▼ 0%,▲ 29%
Cowork,Active Agents,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cowork,Tasks,"216,402","207,406","239,748","227,624","263,945","283,838",▲ 8%,▲ 37%
Cowork,Tool Calls,"2,124,966","1,876,324","2,113,159","2,332,460","2,927,589","3,061,109",▲ 5%,▲ 63%
Cowork,Tool Success Rate,95.9%,95.8%,95.7%,96.3%,96.5%,95.8%,▼ 0.7pp,≈ 0.0pp
Copilot Studio,Active Users,"12,312","13,115","15,585","16,927","21,260","24,997",▲ 18%,▲ 91%
Copilot Studio,Active Tenants,"4,003","4,282","4,632","4,888","5,965","7,068",▲ 18%,▲ 65%
Copilot Studio,Active Agents,"11,267","13,713","14,396","15,383","17,200","20,061",▲ 17%,▲ 46%
Copilot Studio,Tasks,"107,920","135,821","145,148","217,917","155,819","203,294",▲ 30%,▲ 50%
Copilot Studio,Tool Calls,"169,040","202,634","116,929","145,954","184,031","209,659",▲ 14%,▲ 3%
Copilot Studio,Knowledge Search,"209,075","278,109","429,132","635,836","373,813","549,694",▲ 47%,▲ 98%
Copilot Studio,Tool Success Rate,83.9%,94.7%,94.0%,89.6%,91.8%,92.2%,▲ 0.4pp,▼ 2.5pp
